Date,Close,Target,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility,Price_Range
2022-03-15,151.8148956298828,1,147.71337523300835,152.28477002224423,147.2043670461277,151.8148956298828,92964300,159.38314208984374,163.99850341796875,2.967705119044761,2.040012862315584,5.080402976116545
2022-03-16,156.2198944091797,1,153.73353879751855,156.6212399212536,151.19823606106897,156.2198944091797,102300200,158.73707962036133,163.56410736083984,2.90155900777751,2.0848834298955636,5.423003860184622
2022-03-17,157.2281036376953,1,155.26055517399735,157.6000837703935,154.30125449850178,157.2281036376953,75615400,158.15317764282227,163.19504180908203,0.6453782550094767,2.09691843964383,3.2988292718917194
2022-03-18,160.5171661376953,1,157.1204422875064,161.0066074424884,156.3862803303168,160.5171661376953,123511700,157.9133514404297,162.98521911621094,2.0919049609471108,2.119437197987182,4.620327112171594
2022-03-21,161.88766479492188,1,160.05714354706222,162.83718243811654,159.5677020788822,161.88766479492188,95811400,157.8193801879883,162.8599008178711,0.8538019267365637,2.1212235237457846,3.269480359234336
2022-03-22,165.25498962402344,1,162.01487524148183,165.84231029999864,161.42755456550665,165.25498962402344,81532000,158.03962783813478,162.79860443115234,2.080037928379075,2.129755802533054,4.41475573449199
2022-03-23,166.6156463623047,1,164.44252537221885,168.99432437394225,164.1096938716203,166.6156463623047,98062700,158.53592224121093,162.76413055419923,0.8233680213692418,2.0328829770163273,4.884630502321954
2022-03-24,170.3941192626953,1,167.4476727675763,170.46263328488442,166.61563143205333,170.3941192626953,90131400,159.09046096801757,162.74871856689452,2.267777956563788,2.0579725497841057,3.847001852831085
2022-03-25,171.03038024902344,1,170.20812239603873,171.57855215101324,169.1019802060181,171.03038024902344,80546200,159.57353820800782,162.7372332763672,0.3734054843449241,2.0461125604337447,2.476571944995129
2022-03-28,171.89178466796875,1,168.53420969754978,172.019029244763,168.36780145361686,171.89178466796875,90371900,160.0864730834961,162.80828216552734,0.5036557936029196,2.0462365862628733,3.651227791146141
