Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility,Price_Range
2022-01-03,173.85318194367048,178.7902515625947,173.73587028238754,177.939697265625,104487900,,,,,5.054381280207167
2022-01-04,178.54586564233023,178.84893075193062,175.1143499260673,175.68138122558594,99310400,,,-1.2691468372388437,,3.7345808258633326
2022-01-05,175.59342173117227,176.1408961877194,170.73456355297645,171.00830078125,94537600,,,-2.65997478602209,,5.406332634742938
2022-01-06,168.83792269234627,171.3797850968752,167.80162976232634,168.15357971191406,96904000,,,-1.669346491541157,,3.5781553345488533
2022-01-07,169.0237089960216,170.2457555978546,167.2053030557917,168.31980895996094,86709100,,,0.09885561064573167,,3.0404525420629227
2022-01-10,165.29888813158135,168.64240533418686,164.40923476090865,168.33934020996094,106765600,,,0.011603655042558003,,4.233170573278215
2022-01-11,168.46644539148625,171.26247339503044,166.9999896269401,171.1647186279297,76138300,,,1.678382732428907,,4.262483768090334
2022-01-12,172.18144710369126,173.21774007794218,170.91053076473975,171.60464477539062,74805200,,,0.2570191748553219,,2.307209313202435
2022-01-13,171.84905393496263,172.6702655459411,167.94827640647682,168.33934020996094,84505800,,,-1.9028066342280936,,4.721989139464284
2022-01-14,167.5083232130091,169.89375992557677,167.2639139583208,169.19964599609375,80440800,,,0.5110545075558637,,2.62984596725596
2022-01-18,167.6745435442064,168.68150862321704,165.62151446360372,166.00279235839844,90956700,,,-1.8893973559312993,,3.059994159613325
2022-01-19,166.19829964047344,167.25414945182573,162.22909557704548,162.51260375976562,94815000,,,-2.102487885322757,,5.025053874780241
2022-01-20,163.24585020445963,165.88546757565922,160.50846314939517,160.83108520507812,91420500,,,-1.034700396021715,,5.377004426264051
2022-01-21,160.74307541554964,162.61036568511253,158.67048972769118,158.7780303955078,122848900,,,-1.2765286057433656,,3.93987595742135
2022-01-24,156.44148123567246,158.67049246380245,151.2404450916643,158.0056915283203,162294600,,,-0.4864267841486858,,7.430047372138148
2022-01-25,155.4247355135648,159.1202024043847,153.5085752311325,156.20684814453125,115798400,,,-1.138467460500714,,5.611627173252202
2022-01-26,159.84364519078215,160.713741500623,154.2906743409117,156.1188507080078,108275300,,,-0.05633391721854286,,6.423067159711309
2022-01-27,158.8171416631375,160.1760566161972,154.74039680395836,155.6593780517578,121954600,,,-0.2943095303137744,,5.435659812238839
2022-01-28,162.0042414218655,166.5404767176366,159.1593140383979,166.5209197998047,179935700,,,6.97776252480935,,7.381162679238713
